Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
619,Airport,1,Trip Completed,11:51:00,13:00:00
867,Airport,1,Trip Completed,17:57:00,18:47:00
1807,City,1,Trip Completed,09:17:00,09:58:00
2532,Airport,1,Trip Completed,21:08:00,22:03:00
3112,City,1,Trip Completed,08:33:16,09:25:47
3879,Airport,1,Trip Completed,21:57:28,22:28:59
4270,Airport,1,Trip Completed,06:15:32,07:13:15
5510,Airport,1,Trip Completed,05:11:52,06:07:52
6248,City,1,Trip Completed,17:57:27,18:50:51
267,City,2,Trip Completed,06:46:00,07:25:00
1467,Airport,2,Trip Completed,05:08:00,06:02:00
1983,City,2,Trip Completed,12:30:00,12:57:00
2784,Airport,2,Trip Completed,04:49:20,05:23:03
3075,City,2,Trip Completed,08:02:53,09:16:19
3379,City,2,Trip Completed,14:23:02,15:35:18
3482,Airport,2,Trip Completed,17:23:18,18:20:51
4652,City,2,Trip Completed,12:01:02,12:36:46
5335,Airport,2,Trip Completed,22:24:13,23:18:52
535,Airport,3,Trip Completed,10:00:00,10:31:00
960,Airport,3,Trip Completed,18:45:00,19:23:00
1934,Airport,3,Trip Completed,11:17:00,12:23:00
2083,Airport,3,Trip Completed,15:46:00,16:40:00
2211,Airport,3,Trip Completed,18:00:00,18:28:00
3096,Airport,3,Trip Completed,08:17:29,09:22:37
3881,Airport,3,Trip Completed,21:54:18,22:51:23
5254,City,3,Trip Completed,21:23:03,22:25:19
5434,City,3,Trip Completed,02:41:38,03:24:43
5916,City,3,Trip Completed,10:00:43,10:53:06
669,City,4,Trip Completed,13:08:00,13:49:00
1567,Airport,4,Trip Completed,06:21:00,07:10:00
1826,City,4,Trip Completed,09:27:00,10:27:00
2102,City,4,Trip Completed,16:09:00,17:01:00
2847,Airport,4,Trip Completed,05:34:20,06:09:59
3722,Airport,4,Trip Completed,19:57:59,20:32:04
4075,City,4,Trip Completed,02:17:35,03:21:38
4686,City,4,Trip Completed,13:01:10,13:45:28
5771,Airport,4,Trip Completed,08:30:06,09:37:20
6106,Airport,4,Trip Completed,15:01:20,15:47:31
312,City,5,Trip Completed,07:27:00,08:31:00
577,Airport,5,Trip Completed,11:03:00,12:01:00
1179,City,5,Trip Completed,20:58:00,21:45:00
1756,Airport,5,Trip Completed,08:40:00,09:23:00
2052,City,5,Trip Completed,14:48:00,15:50:00
2559,City,5,Trip Completed,21:32:00,22:29:00
3014,City,5,Trip Completed,07:28:14,08:29:47
3317,City,5,Trip Completed,12:14:27,12:46:38
4297,City,5,Trip Completed,06:43:01,07:49:38
5857,Airport,5,Trip Completed,09:08:50,10:07:07
6690,Airport,5,Trip Completed,22:41:41,23:51:00
1517,Airport,6,Trip Completed,05:45:00,06:28:00
1999,Airport,6,Trip Completed,13:02:00,13:51:00
2960,Airport,6,Trip Completed,06:50:33,07:40:35
3882,City,6,Trip Completed,21:53:03,22:45:24
4081,Airport,6,Trip Completed,02:37:14,03:30:27
4740,City,6,Trip Completed,14:50:07,15:38:14
5270,City,6,Trip Completed,21:33:55,22:25:43
6758,Airport,6,Trip Completed,00:03:39,01:07:39
5741,City,6,Trip Completed,07:52:51,08:38:55
6087,Airport,6,Trip Completed,14:28:50,15:33:53
1039,City,7,Trip Completed,19:31:00,20:41:00
1273,Airport,7,Trip Completed,22:07:00,23:12:00
2480,City,7,Trip Completed,20:39:00,21:28:00
4105,City,7,Trip Completed,03:39:38,04:39:04
4509,City,7,Trip Completed,09:11:13,10:17:01
4986,Airport,7,Trip Completed,18:52:32,19:50:57
5898,City,7,Trip Completed,09:50:28,10:40:39
6142,Airport,7,Trip Completed,15:50:15,16:36:56
380,Airport,8,Trip Completed,08:18:00,09:18:00
1050,Airport,8,Trip Completed,19:39:00,20:30:00
1769,City,8,Trip Completed,08:57:00,09:24:00
2520,City,8,Trip Completed,21:05:00,22:20:00
